Date,MSFT,AAPL,NVDA,GOOG,GOOGL,AMZN,META,BRK-B,LLY,AVGO
2012-05-18 00:00:00+00:00,29.270000457763672,18.942142486572266,0.3019999861717224,14.953948974609375,15.025025367736816,10.692500114440918,38.22999954223633,78.91000366210938,40.439998626708984,3.002000093460083
2012-05-21 00:00:00+00:00,29.75,20.045713424682617,0.3072499930858612,15.295418739318848,15.368118286132812,10.905500411987305,34.029998779296875,79.80000305175781,40.630001068115234,3.0910000801086426
2012-05-22 00:00:00+00:00,29.760000228881836,19.891786575317383,0.3034999966621399,14.963912010192871,15.035035133361816,10.766500473022461,31.0,79.6500015258789,41.0,3.127000093460083
2012-05-23 00:00:00+00:00,29.110000610351562,20.37714385986328,0.3109999895095825,15.17960262298584,15.251751899719238,10.86400032043457,32.0,79.75,40.66999816894531,3.3519999980926514
2012-05-24 00:00:00+00:00,29.06999969482422,20.190000534057617,0.30274999141693115,15.035144805908203,15.106607437133789,10.76200008392334,33.029998779296875,79.80000305175781,41.15999984741211,3.250999927520752
2012-05-25 00:00:00+00:00,29.059999465942383,20.081785202026367,0.3100000023841858,14.733027458190918,14.80305290222168,10.644499778747559,31.90999984741211,79.25,41.11000061035156,3.315000057220459
2012-05-29 00:00:00+00:00,29.559999465942383,20.438213348388672,0.3179999887943268,14.803014755249023,14.873373031616211,10.737500190734863,28.84000015258789,79.81999969482422,41.29999923706055,3.444999933242798
2012-05-30 00:00:00+00:00,29.34000015258789,20.684642791748047,0.31424999237060547,14.650835037231445,14.720470428466797,10.46150016784668,28.190000534057617,78.83000183105469,40.9900016784668,3.305999994277954
2012-05-31 00:00:00+00:00,29.190000534057617,20.633214950561523,0.31075000762939453,14.467272758483887,14.536035537719727,10.645500183105469,29.600000381469727,79.36000061035156,40.95000076293945,3.309999942779541
2012-06-01 00:00:00+00:00,28.450000762939453,20.035356521606445,0.2994999885559082,14.221195220947266,14.288788795471191,10.41100025177002,27.719999313354492,79.0199966430664,40.15999984741211,3.0980000495910645
2012-06-04 00:00:00+00:00,28.549999237060547,20.153213500976562,0.2932499945163727,14.410735130310059,14.479228973388672,10.728500366210938,26.899999618530273,79.04000091552734,40.150001525878906,3.052999973297119
2012-06-05 00:00:00+00:00,28.510000228881836,20.101070404052734,0.3017500042915344,14.206998825073242,14.274524688720703,10.660499572753906,25.8700008392334,79.12000274658203,40.619998931884766,3.1410000324249268
2012-06-06 00:00:00+00:00,29.350000381469727,20.409286499023438,0.3097499907016754,14.460049629211426,14.528779029846191,10.881999969482422,26.809999465942383,80.68000030517578,41.0099983215332,3.296999931335449
2012-06-07 00:00:00+00:00,29.229999542236328,20.41857147216797,0.29725000262260437,14.401768684387207,14.470219612121582,10.9399995803833,26.309999465942383,80.66000366210938,41.27000045776367,3.2950000762939453
2012-06-08 00:00:00+00:00,29.649999618530273,20.7257137298584,0.30300000309944153,14.457060813903809,14.525775909423828,10.923999786376953,27.100000381469727,81.36000061035156,41.529998779296875,3.384000062942505
2012-06-11 00:00:00+00:00,28.899999618530273,20.398929595947266,0.30649998784065247,14.15942668914795,14.226726531982422,10.824999809265137,27.010000228881836,80.27999877929688,41.4900016784668,3.3239998817443848
2012-06-12 00:00:00+00:00,29.290000915527344,20.5771427154541,0.3127500116825104,14.07474422454834,14.141641616821289,10.821000099182129,27.399999618530273,81.26000213623047,41.63999938964844,3.3919999599456787
2012-06-13 00:00:00+00:00,29.1299991607666,20.43428611755371,0.304500013589859,13.974868774414062,14.041291236877441,10.736499786376953,27.270000457763672,80.58999633789062,41.56999969482422,3.4040000438690186
2012-06-14 00:00:00+00:00,29.34000015258789,20.411785125732422,0.3007499873638153,13.92405891418457,13.990240097045898,10.72249984741211,28.290000915527344,81.72000122070312,41.810001373291016,3.3310000896453857
2012-06-15 00:00:00+00:00,30.020000457763672,20.504642486572266,0.3072499930858612,14.060049057006836,14.126876831054688,10.917499542236328,30.010000228881836,82.56999969482422,41.9900016784668,3.4070000648498535
2012-06-18 00:00:00+00:00,29.84000015258789,20.920713424682617,0.3100000023841858,14.217958450317383,14.28553581237793,11.133000373840332,31.40999984741211,82.1500015258789,42.040000915527344,3.4760000705718994
2012-06-19 00:00:00+00:00,30.700000762939453,20.97892951965332,0.3310000002384186,14.48396110534668,14.552803039550781,11.201499938964844,31.90999984741211,82.9800033569336,42.290000915527344,3.4700000286102295
2012-06-20 00:00:00+00:00,30.93000030517578,20.919286727905273,0.3362500071525574,14.383835792541504,14.452201843261719,11.151000022888184,31.600000381469727,82.45999908447266,42.040000915527344,3.5269999504089355
2012-06-21 00:00:00+00:00,30.139999389648438,20.631071090698242,0.32100000977516174,14.077484130859375,14.144393920898438,11.028499603271484,31.84000015258789,81.19000244140625,41.7599983215332,3.447999954223633
2012-06-22 00:00:00+00:00,30.700000762939453,20.78928565979004,0.32499998807907104,14.233649253845215,14.301301002502441,11.107999801635742,33.04999923706055,81.87000274658203,42.06999969482422,3.4800000190734863
2012-06-25 00:00:00+00:00,29.8700008392334,20.3846435546875,0.31474998593330383,13.965154647827148,14.031532287597656,11.003499984741211,32.060001373291016,80.47000122070312,41.470001220703125,3.4210000038146973
2012-06-26 00:00:00+00:00,30.020000457763672,20.429643630981445,0.31825000047683716,14.064284324645996,14.131131172180176,11.280500411987305,33.099998474121094,81.33000183105469,41.56999969482422,3.438999891281128
2012-06-27 00:00:00+00:00,30.170000076293945,20.51785659790039,0.32850000262260437,14.179351806640625,14.246747016906738,11.281000137329102,32.22999954223633,81.9800033569336,41.93000030517578,3.490000009536743
